ADAM9	8	39032252	39081936
ADAMDEC1	8	24297915	24319471
ADAMTS1	21	27130476	27139599
ADAMTS10	19	8555778	8581588
ADAMTS12	5	33787059	33927881
ADAMTS13	9	135310590	135314329
ADAMTS14	10	72163719	72176406
ADAMTS15	11	129824078	129848926
ADAMTS16	5	5288126	5292387
ADAMTS17	15	98421341	98696828
ADAMTS18	16	75888686	76025919
ADAMTS19	5	128960150	129102275
ADAMTS2	5	178510735	178704935
ADAMTS20	12	42108310	42119833
ADAMTS3	4	73382814	73396836
ADAMTS4	1	159432392	159435469
ADAMTS5	21	27212111	27260703
ADAMTS6	5	64545980	64805535
ADAMTS7	15	76850022	76890828
ADAMTS8	11	129780027	129803749
ADAMTS9	3	64575590	64648405
ADAMTSL1	9	18895488	18899659
ADAMTSL2	9	135420220	135430462
ADAMTSL3	15	82113841	82499597
ADAMTSL4	1	148797044	148800036
ADAMTSL5	19	1456022	1464019
ADAP1	7	904062	981761
ADAP2	17	26272879	26310337
ADAR	1	152841303	152847306
ADARB1	21	45415952	45470902
ADARB2	10	1218072	1769718
ADAT1	16	74190498	74214655
ADAT2	6	143796660	143805507
ADAT3	19	1863094	1864150
ADCK1	14	77459327	77470047
ADCK2	7	140019421	140042213
ADCK5	8	145587902	145589261
ADCY1	7	45580649	45729239
ADCY10	1	166115976	166149964
ADCY2	5	7835285	7883194
ADCY3	2	24895541	24995559
ADCY4	14	23871300	23874102
ADCY5	3	124501656	124606098
ADCY6	12	47446241	47469087
ADCY7	16	48879323	48909544
ADCY8	8	131861728	132122017
ADCY9	16	3952652	4106187
ADCYAP1	18	895296	902173
ADCYAP1R1	7	31093081	31109505
ADD1	4	2859028	2874462
ADD2	2	70755730	70848837
ADD3	10	111872767	111885313
ADH1B	4	100446549	100461595
ADH1C	4	100424852	100431165
ADH4	4	100263855	100284472
ADH5	4	100215398	100228954
ADH6	4	100344901	100359426
ADH7	4	100552440	100575548
ADHFE1	8	67507271	67543598
ADI1	2	3480696	3502354
ADIG	20	36643251	36650518
ADIPOQ	3	188043156	188058946
ADIPOR1	1	201176583	201194323
ADIPOR2	12	1670521	1768106
ADK	10	75955006	76139066
ADM	11	10283217	10285499
ADM2	22	49266877	49271732
ADNP	20	48940289	48980934
ADNP2	18	75967902	75999219
ADORA1	1	201364028	201403156
ADORA2A	22	23159098	23168325
ADORA2B	17	15788955	15819935
ADORA3	1	111843573	111848266
ADPGK	15	70861517	70863720
ADPRH	3	120783601	120791482
